text,label
Your OTP for bank login is 647895. Do not share.,0
You have received a scratch card worth ₹39840. Scratch here: http://192.168.1.1/pay,1
You have received a scratch card worth ₹24810. Scratch here: http://lottery-win.tk,1
Urgent: Your KYC has expired. Update now at http://cashback-offer.in@claim,1
Your OTP for bank login is 167455. Do not share.,0
You have received a scratch card worth ₹4010. Scratch here: http://short.url/xyz,1
"Get instant personal loan up to ₹500,000. Apply: http://lottery-win.tk",1
Reminder: Team standup at 4:45 PM.,0
Can you call me back when you are free?,0
"Dear customer, your UPI PIN needs reset. Click http://update-kyc.ml",1
Please find the attached document for the meeting.,0
Reminder: Team standup at 7:00 PM.,0
"Get instant personal loan up to ₹500,000. Apply: http://upi-verification.com",1
Your Amazon package will be delivered today by 2:15 PM.,0
Your Amazon package will be delivered today by 1:30 AM.,0
Claim your ₹24111 UPI cashback now at http://bit.ly/fake-upi,1
"Dear customer, your UPI PIN needs reset. Click http://short.url/xyz",1
Happy Birthday! Hope you have a great day.,0
"Dear customer, your UPI PIN needs reset. Click http://192.168.1.1/pay",1
Your OTP for bank login is 771346. Do not share.,0
"Dear customer, your UPI PIN needs reset. Click http://cashback-offer.in@claim",1
Your flight PNR 156215 is confirmed. Web check-in at https://amazon.in/orders,0
Can you call me back when you are free?,0
Reminder: Team standup at 7:15 PM.,0
"Get instant personal loan up to ₹500,000. Apply: http://upi-verification.com",1
"Hey, are we still meeting for dinner at 3:30 AM?",0
Your electricity bill is overdue. Pay here to avoid disconnection: http://cashback-offer.in@claim,1
Your OTP for bank login is 299815. Do not share.,0
Urgent: Your KYC has expired. Update now at http://192.168.1.1/pay,1
Congratulations! You won a lottery of 28831. Click to claim: http://short.url/xyz,1
Your flight PNR 370853 is confirmed. Web check-in at https://www.indigo.in,0
"Dear customer, your UPI PIN needs reset. Click http://upi-verification.com",1
You have received a scratch card worth ₹15019. Scratch here: http://short.url/xyz,1
Reminder: Team standup at 2:15 AM.,0
Can you call me back when you are free?,0
Happy Birthday! Hope you have a great day.,0
Your electricity bill is overdue. Pay here to avoid disconnection: http://short.url/xyz,1
Congratulations! You won a lottery of 36900. Click to claim: http://cashback-offer.in@claim,1
Income Tax Refund of ₹30813 approved. Claim here: http://bit.ly/fake-upi,1
Happy Birthday! Hope you have a great day.,0
Can you call me back when you are free?,0
Your parcel is held at customs. Pay ₹99 fee to release: http://cashback-offer.in@claim,1
"Get instant personal loan up to ₹500,000. Apply: http://upi-verification.com",1
Your parcel is held at customs. Pay ₹99 fee to release: http://lottery-win.tk,1
Your OTP for bank login is 633240. Do not share.,0
Happy Birthday! Hope you have a great day.,0
Your parcel is held at customs. Pay ₹99 fee to release: http://bit.ly/fake-upi,1
Your parcel is held at customs. Pay ₹99 fee to release: http://192.168.1.1/pay,1
Your Amazon package will be delivered today by 4:15 PM.,0
Your OTP for bank login is 907189. Do not share.,0
Your flight PNR 240449 is confirmed. Web check-in at https://netflix.com,0
Please find the attached document for the meeting.,0
Claim your ₹47721 UPI cashback now at http://192.168.1.1/pay,1
Your parcel is held at customs. Pay ₹99 fee to release: http://short.url/xyz,1
Your flight PNR 891402 is confirmed. Web check-in at https://amazon.in/orders,0
Your parcel is held at customs. Pay ₹99 fee to release: http://lottery-win.tk,1
Your OTP for bank login is 949882. Do not share.,0
"Hey, are we still meeting for dinner at 11:00 PM?",0
Income Tax Refund of ₹37138 approved. Claim here: http://bit.ly/fake-upi,1
Urgent: Your KYC has expired. Update now at http://lottery-win.tk,1
Claim your ₹19891 UPI cashback now at http://bit.ly/fake-upi,1
Happy Birthday! Hope you have a great day.,0
Monthly Netflix subscription of ₹499 renewed successfully.,0
Amount of ₹32352 debited from your A/c. Available balance: ₹32352.,0
Please find the attached document for the meeting.,0
Urgent: Your KYC has expired. Update now at http://upi-verification.com,1
Can you call me back when you are free?,0
Congratulations! You won a lottery of 34387. Click to claim: http://192.168.1.1/pay,1
Your Amazon package will be delivered today by 10:15 PM.,0
Monthly Netflix subscription of ₹499 renewed successfully.,0
"Dear customer, your UPI PIN needs reset. Click http://192.168.1.1/pay",1
Your electricity bill is overdue. Pay here to avoid disconnection: http://lottery-win.tk,1
"Dear customer, your UPI PIN needs reset. Click http://short.url/xyz",1
"Get instant personal loan up to ₹500,000. Apply: http://lottery-win.tk",1
"Get instant personal loan up to ₹500,000. Apply: http://bit.ly/fake-upi",1
Claim your ₹33314 UPI cashback now at http://cashback-offer.in@claim,1
Your parcel is held at customs. Pay ₹99 fee to release: http://cashback-offer.in@claim,1
Claim your ₹37258 UPI cashback now at http://cashback-offer.in@claim,1
Income Tax Refund of ₹14917 approved. Claim here: http://short.url/xyz,1
"Get instant personal loan up to ₹500,000. Apply: http://cashback-offer.in@claim",1
Your OTP for bank login is 561989. Do not share.,0
Your parcel is held at customs. Pay ₹99 fee to release: http://bit.ly/fake-upi,1
Your bank account will be blocked in 24 hrs. Verify PAN: http://update-kyc.ml,1
Your OTP for bank login is 536779. Do not share.,0
Claim your ₹24181 UPI cashback now at http://update-kyc.ml,1
Urgent: Your KYC has expired. Update now at http://update-kyc.ml,1
Congratulations! You won a lottery of 39204. Click to claim: http://cashback-offer.in@claim,1
Please find the attached document for the meeting.,0
Urgent: Your KYC has expired. Update now at http://upi-verification.com,1
Amount of ₹863 debited from your A/c. Available balance: ₹863.,0
"Get instant personal loan up to ₹500,000. Apply: http://update-kyc.ml",1
Claim your ₹48889 UPI cashback now at http://lottery-win.tk,1
Happy Birthday! Hope you have a great day.,0
Please find the attached document for the meeting.,0
"Hey, are we still meeting for dinner at 10:30 AM?",0
"Get instant personal loan up to ₹500,000. Apply: http://lottery-win.tk",1
Your bank account will be blocked in 24 hrs. Verify PAN: http://upi-verification.com,1
Reminder: Team standup at 7:00 PM.,0
Your parcel is held at customs. Pay ₹99 fee to release: http://cashback-offer.in@claim,1
"Hey, are we still meeting for dinner at 7:15 AM?",0
Your Amazon package will be delivered today by 10:45 AM.,0
Please find the attached document for the meeting.,0
Reminder: Team standup at 4:00 AM.,0
Claim your ₹4322 UPI cashback now at http://update-kyc.ml,1
Your bank account will be blocked in 24 hrs. Verify PAN: http://192.168.1.1/pay,1
Income Tax Refund of ₹8366 approved. Claim here: http://lottery-win.tk,1
You have received a scratch card worth ₹1946. Scratch here: http://update-kyc.ml,1
You have received a scratch card worth ₹17665. Scratch here: http://short.url/xyz,1
Monthly Netflix subscription of ₹499 renewed successfully.,0
"Get instant personal loan up to ₹500,000. Apply: http://short.url/xyz",1
